Token               Lexeme

keyword             function
separator           [
separator           ]
keyword             integer
keyword             boolean
keyword             real
separator           {
separator           }
operator            :=
separator           ,
separator           $$
separator           :
separator           (
separator           )
separator           ;
separator           ;
keyword             if
keyword             else
keyword             endif
keyword             return
keyword             print
keyword             read
keyword             while
keyword             true
keyword             false
operator            =
operator            /=
unknown             >>
operator            <
operator            <
operator            =>
operator            *
operator            <=
operator            +
operator            +
operator            -
operator            -
operator            /
operator            *
integer             123
integer             0000
real                13.456
identifier          a_c__4t
identifier          a____t
identifier          xyz
identifier          x56
identifier          FUnction
identifier          Real
unknown             _
identifier          fgt
unknown             gxy_
unknown             .
integer             567
unknown             12.45.67
unknown             %
unknown             &
unknown             @
